code,date,open,close,high,low,volume
SH.688122,2021-11-09 14:30:00,85.92,86.0,86.3,85.6,507300.0
SH.688122,2021-11-09 15:00:00,86.08,85.45,86.28,85.29,645500.0
SH.688122,2021-11-10 10:00:00,84.97,86.0,87.29,84.97,1353700.0
SH.688122,2021-11-10 10:30:00,85.98,86.06,86.4,85.31,838600.0
SH.688122,2021-11-10 11:00:00,86.12,86.25,87.83,85.92,1495100.0
SH.688122,2021-11-10 11:30:00,86.44,86.72,86.97,85.99,843300.0
SH.688122,2021-11-10 13:30:00,86.63,86.4,87.0,85.82,670900.0
SH.688122,2021-11-10 14:00:00,86.4,84.94,86.75,84.66,708800.0
SH.688122,2021-11-10 14:30:00,84.84,86.02,86.4,84.84,463800.0
SH.688122,2021-11-10 15:00:00,85.98,85.4,86.06,85.0,581500.0
SH.688122,2021-11-11 10:00:00,86.46,84.24,86.46,83.88,1099000.0
SH.688122,2021-11-11 10:30:00,84.39,84.52,84.99,83.96,614700.0
SH.688122,2021-11-11 11:00:00,84.58,86.06,86.11,84.36,723300.0
SH.688122,2021-11-11 11:30:00,86.04,86.03,86.18,85.51,417500.0
SH.688122,2021-11-11 13:30:00,86.04,86.36,86.84,85.96,504500.0
SH.688122,2021-11-11 14:00:00,86.4,85.85,86.51,85.6,422500.0
SH.688122,2021-11-11 14:30:00,85.84,85.72,86.16,85.16,467500.0
SH.688122,2021-11-11 15:00:00,85.72,85.67,86.0,85.26,327900.0
SH.688122,2021-11-12 10:00:00,85.5,89.84,89.86,85.11,1393400.0
SH.688122,2021-11-12 10:30:00,89.79,90.8,91.8,89.58,1503800.0
SH.688122,2021-11-12 11:00:00,90.76,93.26,93.4,90.76,1549600.0
SH.688122,2021-11-12 11:30:00,93.39,93.1,93.48,92.24,986700.0
SH.688122,2021-11-12 13:30:00,93.08,92.74,93.37,92.72,1301200.0
SH.688122,2021-11-12 14:00:00,92.72,91.96,93.09,91.66,1099700.0
SH.688122,2021-11-12 14:30:00,91.98,91.18,92.12,90.5,1245700.0
SH.688122,2021-11-12 15:00:00,91.2,91.11,91.5,90.5,1229100.0
SH.688122,2021-11-15 10:00:00,90.75,92.05,92.75,90.4,1642600.0
SH.688122,2021-11-15 10:30:00,92.11,92.76,93.17,90.82,1018400.0
SH.688122,2021-11-15 11:00:00,92.8,90.56,93.07,90.5,1128700.0
SH.688122,2021-11-15 11:30:00,90.56,89.83,90.61,89.66,844700.0
SH.688122,2021-11-15 13:30:00,89.96,90.1,90.2,89.22,602700.0
SH.688122,2021-11-15 14:00:00,90.0,90.44,91.11,89.8,474300.0
SH.688122,2021-11-15 14:30:00,90.4,89.71,90.62,89.65,525000.0
SH.688122,2021-11-15 15:00:00,89.71,89.17,89.9,88.88,559400.0
SH.688122,2021-11-16 10:00:00,88.5,90.6,90.78,88.46,861100.0
SH.688122,2021-11-16 10:30:00,90.68,90.85,91.6,90.29,908500.0
SH.688122,2021-11-16 11:00:00,90.82,89.75,90.82,89.67,388400.0
SH.688122,2021-11-16 11:30:00,89.69,88.8,89.69,88.5,415200.0
SH.688122,2021-11-16 13:30:00,88.8,87.7,89.25,87.6,843300.0
SH.688122,2021-11-16 14:00:00,87.72,87.04,88.18,86.88,708400.0
SH.688122,2021-11-16 14:30:00,86.96,87.86,88.11,86.96,456700.0
SH.688122,2021-11-16 15:00:00,87.99,87.87,87.99,86.75,431500.0
SH.688122,2021-11-17 10:00:00,86.8,85.57,87.92,85.46,1293700.0
SH.688122,2021-11-17 10:30:00,85.58,86.91,86.99,85.4,769100.0
SH.688122,2021-11-17 11:00:00,87.0,87.38,87.38,86.48,843600.0
SH.688122,2021-11-17 11:30:00,87.36,87.77,88.23,87.32,472800.0
SH.688122,2021-11-17 13:30:00,87.77,87.8,88.18,87.32,278900.0
SH.688122,2021-11-17 14:00:00,87.8,87.92,88.0,87.08,309900.0
SH.688122,2021-11-17 14:30:00,87.77,87.88,87.92,87.44,299300.0
SH.688122,2021-11-17 15:00:00,87.87,87.7,87.88,87.07,516000.0
SH.688122,2021-11-18 10:00:00,87.7,86.7,88.28,86.62,501200.0
SH.688122,2021-11-18 10:30:00,86.7,87.74,87.8,86.18,400700.0
SH.688122,2021-11-18 11:00:00,87.75,90.24,91.16,87.65,949900.0
SH.688122,2021-11-18 11:30:00,90.2,91.9,91.95,89.78,740400.0
SH.688122,2021-11-18 13:30:00,91.9,91.78,91.99,90.71,854700.0
SH.688122,2021-11-18 14:00:00,91.79,91.69,92.29,91.33,964100.0
SH.688122,2021-11-18 14:30:00,91.61,91.77,92.47,91.34,826000.0
SH.688122,2021-11-18 15:00:00,91.88,91.49,92.01,91.4,681200.0
SH.688122,2021-11-19 10:00:00,90.5,91.5,92.95,90.5,1013900.0
SH.688122,2021-11-19 10:30:00,91.66,93.0,94.5,91.32,955300.0
SH.688122,2021-11-19 11:00:00,93.04,94.25,95.5,92.54,950700.0
SH.688122,2021-11-19 11:30:00,94.46,93.5,94.76,93.15,277200.0
SH.688122,2021-11-19 13:30:00,93.33,92.5,93.5,91.7,351300.0
SH.688122,2021-11-19 14:00:00,92.49,92.46,92.89,92.2,276000.0
SH.688122,2021-11-19 14:30:00,92.46,92.6,92.99,92.28,298600.0
SH.688122,2021-11-19 15:00:00,92.67,92.4,92.79,92.21,325900.0
SH.688122,2021-11-22 10:00:00,91.97,91.72,92.99,90.5,1301700.0
SH.688122,2021-11-22 10:30:00,91.76,92.62,93.19,91.42,527300.0
SH.688122,2021-11-22 11:00:00,92.62,92.8,93.17,92.1,278800.0
SH.688122,2021-11-22 11:30:00,92.74,93.04,93.35,92.41,261400.0
SH.688122,2021-11-22 13:30:00,93.0,93.36,93.63,92.97,370500.0
SH.688122,2021-11-22 14:00:00,93.36,93.75,93.81,92.73,311800.0
SH.688122,2021-11-22 14:30:00,93.79,96.08,96.18,93.6,1101900.0
SH.688122,2021-11-22 15:00:00,96.03,94.0,96.08,93.82,651100.0
SH.688122,2021-11-23 10:00:00,93.95,93.0,94.75,92.18,706600.0
SH.688122,2021-11-23 10:30:00,92.96,92.18,93.07,92.0,698600.0
SH.688122,2021-11-23 11:00:00,92.33,92.07,92.5,91.8,721700.0
SH.688122,2021-11-23 11:30:00,92.07,93.9,93.9,91.76,493100.0
SH.688122,2021-11-23 13:30:00,93.88,92.91,93.9,92.91,273700.0
SH.688122,2021-11-23 14:00:00,92.91,92.21,93.1,92.0,397500.0
SH.688122,2021-11-23 14:30:00,92.29,92.66,93.34,92.29,211000.0
SH.688122,2021-11-23 15:00:00,92.66,92.31,93.01,92.17,342900.0
